,Unnamed: 0,case_number,prompt,class,evaluation_seed
0,0,0,Image of cassette player,cassette player,57695
1,1,1,Image of chain saw,chain saw,60481
2,2,2,Image of church,church,32173
3,3,3,Image of gas pump,gas pump,13285
4,4,4,Image of tench,tench,83196
5,5,5,Image of garbage truck,garbage truck,63901
6,6,6,Image of english springer,english springer,38577
7,7,7,Image of golf ball,golf ball,84432
8,8,8,Image of parachute,parachute,29941
9,9,9,Image of french horn,french horn,49221
0,0,0,Image of cassette player,cassette player,90007
1,1,1,Image of chain saw,chain saw,96957
2,2,2,Image of church,church,31450
3,3,3,Image of gas pump,gas pump,54168
4,4,4,Image of tench,tench,64275
5,5,5,Image of garbage truck,garbage truck,99363
6,6,6,Image of english springer,english springer,31988
7,7,7,Image of golf ball,golf ball,97715
8,8,8,Image of parachute,parachute,60473
9,9,9,Image of french horn,french horn,54311
0,0,0,Image of cassette player,cassette player,98293
1,1,1,Image of chain saw,chain saw,62830
2,2,2,Image of church,church,96479
3,3,3,Image of gas pump,gas pump,33740
4,4,4,Image of tench,tench,20000
5,5,5,Image of garbage truck,garbage truck,28369
6,6,6,Image of english springer,english springer,43978
7,7,7,Image of golf ball,golf ball,68472
8,8,8,Image of parachute,parachute,11517
9,9,9,Image of french horn,french horn,92071
0,0,0,Image of cassette player,cassette player,50474
1,1,1,Image of chain saw,chain saw,91242
2,2,2,Image of church,church,78652
3,3,3,Image of gas pump,gas pump,76486
4,4,4,Image of tench,tench,24352
5,5,5,Image of garbage truck,garbage truck,2199
6,6,6,Image of english springer,english springer,88617
7,7,7,Image of golf ball,golf ball,61927
8,8,8,Image of parachute,parachute,78763
9,9,9,Image of french horn,french horn,8472
0,0,0,Image of cassette player,cassette player,85948
1,1,1,Image of chain saw,chain saw,67655
2,2,2,Image of church,church,34800
3,3,3,Image of gas pump,gas pump,35009
4,4,4,Image of tench,tench,50411
5,5,5,Image of garbage truck,garbage truck,52898
6,6,6,Image of english springer,english springer,69388
7,7,7,Image of golf ball,golf ball,48027
8,8,8,Image of parachute,parachute,95695
9,9,9,Image of french horn,french horn,43018
0,0,0,Image of cassette player,cassette player,24046
1,1,1,Image of chain saw,chain saw,32865
2,2,2,Image of church,church,89823
3,3,3,Image of gas pump,gas pump,81765
4,4,4,Image of tench,tench,88779
5,5,5,Image of garbage truck,garbage truck,71989
6,6,6,Image of english springer,english springer,85988
7,7,7,Image of golf ball,golf ball,37833
8,8,8,Image of parachute,parachute,50730
9,9,9,Image of french horn,french horn,43986
0,0,0,Image of cassette player,cassette player,61985
1,1,1,Image of chain saw,chain saw,95284
2,2,2,Image of church,church,79668
3,3,3,Image of gas pump,gas pump,25953
4,4,4,Image of tench,tench,37914
5,5,5,Image of garbage truck,garbage truck,20639
6,6,6,Image of english springer,english springer,89937
7,7,7,Image of golf ball,golf ball,56277
8,8,8,Image of parachute,parachute,4978
9,9,9,Image of french horn,french horn,82372
0,0,0,Image of cassette player,cassette player,811
1,1,1,Image of chain saw,chain saw,72237
2,2,2,Image of church,church,69737
3,3,3,Image of gas pump,gas pump,89334
4,4,4,Image of tench,tench,9270
5,5,5,Image of garbage truck,garbage truck,80555
6,6,6,Image of english springer,english springer,953
7,7,7,Image of golf ball,golf ball,34364
8,8,8,Image of parachute,parachute,88403
9,9,9,Image of french horn,french horn,46235
0,0,0,Image of cassette player,cassette player,647
1,1,1,Image of chain saw,chain saw,87973
2,2,2,Image of church,church,71000
3,3,3,Image of gas pump,gas pump,66020
4,4,4,Image of tench,tench,36008
5,5,5,Image of garbage truck,garbage truck,87181
6,6,6,Image of english springer,english springer,13786
7,7,7,Image of golf ball,golf ball,52035
8,8,8,Image of parachute,parachute,88154
9,9,9,Image of french horn,french horn,14250
0,0,0,Image of cassette player,cassette player,59629
1,1,1,Image of chain saw,chain saw,32577
2,2,2,Image of church,church,58212
3,3,3,Image of gas pump,gas pump,4282
4,4,4,Image of tench,tench,93120
5,5,5,Image of garbage truck,garbage truck,2768
6,6,6,Image of english springer,english springer,76926
7,7,7,Image of golf ball,golf ball,24176
8,8,8,Image of parachute,parachute,45502
9,9,9,Image of french horn,french horn,57086
0,0,0,Image of cassette player,cassette player,4980
1,1,1,Image of chain saw,chain saw,58384
2,2,2,Image of church,church,24819
3,3,3,Image of gas pump,gas pump,59243
4,4,4,Image of tench,tench,79508
5,5,5,Image of garbage truck,garbage truck,27935
6,6,6,Image of english springer,english springer,67948
7,7,7,Image of golf ball,golf ball,75362
8,8,8,Image of parachute,parachute,93978
9,9,9,Image of french horn,french horn,16639
0,0,0,Image of cassette player,cassette player,55081
1,1,1,Image of chain saw,chain saw,79998
2,2,2,Image of church,church,41245
3,3,3,Image of gas pump,gas pump,50216
4,4,4,Image of tench,tench,98277
5,5,5,Image of garbage truck,garbage truck,17059
6,6,6,Image of english springer,english springer,86287
7,7,7,Image of golf ball,golf ball,47158
8,8,8,Image of parachute,parachute,30625
9,9,9,Image of french horn,french horn,58704
0,0,0,Image of cassette player,cassette player,84273
1,1,1,Image of chain saw,chain saw,76945
2,2,2,Image of church,church,68085
3,3,3,Image of gas pump,gas pump,91054
4,4,4,Image of tench,tench,89453
5,5,5,Image of garbage truck,garbage truck,63230
6,6,6,Image of english springer,english springer,56794
7,7,7,Image of golf ball,golf ball,54747
8,8,8,Image of parachute,parachute,68147
9,9,9,Image of french horn,french horn,80894
0,0,0,Image of cassette player,cassette player,5028
1,1,1,Image of chain saw,chain saw,49656
2,2,2,Image of church,church,4507
3,3,3,Image of gas pump,gas pump,88573
4,4,4,Image of tench,tench,77756
5,5,5,Image of garbage truck,garbage truck,80378
6,6,6,Image of english springer,english springer,18837
7,7,7,Image of golf ball,golf ball,87985
8,8,8,Image of parachute,parachute,37053
9,9,9,Image of french horn,french horn,13613
0,0,0,Image of cassette player,cassette player,56046
1,1,1,Image of chain saw,chain saw,65231
2,2,2,Image of church,church,54692
3,3,3,Image of gas pump,gas pump,19848
4,4,4,Image of tench,tench,27000
5,5,5,Image of garbage truck,garbage truck,72699
6,6,6,Image of english springer,english springer,30264
7,7,7,Image of golf ball,golf ball,53223
8,8,8,Image of parachute,parachute,27461
9,9,9,Image of french horn,french horn,36530
0,0,0,Image of cassette player,cassette player,65841
1,1,1,Image of chain saw,chain saw,30167
2,2,2,Image of church,church,43150
3,3,3,Image of gas pump,gas pump,50391
4,4,4,Image of tench,tench,39970
5,5,5,Image of garbage truck,garbage truck,16129
6,6,6,Image of english springer,english springer,75036
7,7,7,Image of golf ball,golf ball,73452
8,8,8,Image of parachute,parachute,95607
9,9,9,Image of french horn,french horn,27944
0,0,0,Image of cassette player,cassette player,9608
1,1,1,Image of chain saw,chain saw,79572
2,2,2,Image of church,church,27683
3,3,3,Image of gas pump,gas pump,96583
4,4,4,Image of tench,tench,19242
5,5,5,Image of garbage truck,garbage truck,71336
6,6,6,Image of english springer,english springer,76883
7,7,7,Image of golf ball,golf ball,74534
8,8,8,Image of parachute,parachute,51490
9,9,9,Image of french horn,french horn,24091
0,0,0,Image of cassette player,cassette player,93855
1,1,1,Image of chain saw,chain saw,94732
2,2,2,Image of church,church,12774
3,3,3,Image of gas pump,gas pump,34708
4,4,4,Image of tench,tench,84605
5,5,5,Image of garbage truck,garbage truck,55776
6,6,6,Image of english springer,english springer,9905
7,7,7,Image of golf ball,golf ball,60274
8,8,8,Image of parachute,parachute,14290
9,9,9,Image of french horn,french horn,81120
0,0,0,Image of cassette player,cassette player,10309
1,1,1,Image of chain saw,chain saw,11789
2,2,2,Image of church,church,21988
3,3,3,Image of gas pump,gas pump,44866
4,4,4,Image of tench,tench,7513
5,5,5,Image of garbage truck,garbage truck,51312
6,6,6,Image of english springer,english springer,96416
7,7,7,Image of golf ball,golf ball,44666
8,8,8,Image of parachute,parachute,19271
9,9,9,Image of french horn,french horn,81523
0,0,0,Image of cassette player,cassette player,24077
1,1,1,Image of chain saw,chain saw,6886
2,2,2,Image of church,church,93947
3,3,3,Image of gas pump,gas pump,43471
4,4,4,Image of tench,tench,82606
5,5,5,Image of garbage truck,garbage truck,42823
6,6,6,Image of english springer,english springer,57168
7,7,7,Image of golf ball,golf ball,884
8,8,8,Image of parachute,parachute,75319
9,9,9,Image of french horn,french horn,12674
0,0,0,Image of cassette player,cassette player,26506
1,1,1,Image of chain saw,chain saw,48840
2,2,2,Image of church,church,3682
3,3,3,Image of gas pump,gas pump,29987
4,4,4,Image of tench,tench,34823
5,5,5,Image of garbage truck,garbage truck,2834
6,6,6,Image of english springer,english springer,46193
7,7,7,Image of golf ball,golf ball,30496
8,8,8,Image of parachute,parachute,2438
9,9,9,Image of french horn,french horn,49517
0,0,0,Image of cassette player,cassette player,45528
1,1,1,Image of chain saw,chain saw,96834
2,2,2,Image of church,church,88197
3,3,3,Image of gas pump,gas pump,42405
4,4,4,Image of tench,tench,70774
5,5,5,Image of garbage truck,garbage truck,98806
6,6,6,Image of english springer,english springer,75379
7,7,7,Image of golf ball,golf ball,73664
8,8,8,Image of parachute,parachute,9964
9,9,9,Image of french horn,french horn,35599
0,0,0,Image of cassette player,cassette player,44247
1,1,1,Image of chain saw,chain saw,85224
2,2,2,Image of church,church,16721
3,3,3,Image of gas pump,gas pump,24956
4,4,4,Image of tench,tench,54819
5,5,5,Image of garbage truck,garbage truck,63005
6,6,6,Image of english springer,english springer,97743
7,7,7,Image of golf ball,golf ball,89258
8,8,8,Image of parachute,parachute,36729
9,9,9,Image of french horn,french horn,9062
0,0,0,Image of cassette player,cassette player,89443
1,1,1,Image of chain saw,chain saw,45814
2,2,2,Image of church,church,52518
3,3,3,Image of gas pump,gas pump,73862
4,4,4,Image of tench,tench,16147
5,5,5,Image of garbage truck,garbage truck,53972
6,6,6,Image of english springer,english springer,93134
7,7,7,Image of golf ball,golf ball,43386
8,8,8,Image of parachute,parachute,40988
9,9,9,Image of french horn,french horn,9127
0,0,0,Image of cassette player,cassette player,96672
1,1,1,Image of chain saw,chain saw,83464
2,2,2,Image of church,church,36640
3,3,3,Image of gas pump,gas pump,38635
4,4,4,Image of tench,tench,54999
5,5,5,Image of garbage truck,garbage truck,62810
6,6,6,Image of english springer,english springer,53375
7,7,7,Image of golf ball,golf ball,52562
8,8,8,Image of parachute,parachute,16895
9,9,9,Image of french horn,french horn,36661
0,0,0,Image of cassette player,cassette player,88622
1,1,1,Image of chain saw,chain saw,48805
2,2,2,Image of church,church,96780
3,3,3,Image of gas pump,gas pump,52871
4,4,4,Image of tench,tench,18227
5,5,5,Image of garbage truck,garbage truck,64149
6,6,6,Image of english springer,english springer,80593
7,7,7,Image of golf ball,golf ball,71014
8,8,8,Image of parachute,parachute,36387
9,9,9,Image of french horn,french horn,37358
0,0,0,Image of cassette player,cassette player,96913
1,1,1,Image of chain saw,chain saw,46592
2,2,2,Image of church,church,6957
3,3,3,Image of gas pump,gas pump,7580
4,4,4,Image of tench,tench,29568
5,5,5,Image of garbage truck,garbage truck,35972
6,6,6,Image of english springer,english springer,68474
7,7,7,Image of golf ball,golf ball,95591
8,8,8,Image of parachute,parachute,21462
9,9,9,Image of french horn,french horn,83253
0,0,0,Image of cassette player,cassette player,46026
1,1,1,Image of chain saw,chain saw,51246
2,2,2,Image of church,church,93065
3,3,3,Image of gas pump,gas pump,20343
4,4,4,Image of tench,tench,75517
5,5,5,Image of garbage truck,garbage truck,40352
6,6,6,Image of english springer,english springer,63945
7,7,7,Image of golf ball,golf ball,44053
8,8,8,Image of parachute,parachute,50317
9,9,9,Image of french horn,french horn,16590
0,0,0,Image of cassette player,cassette player,10788
1,1,1,Image of chain saw,chain saw,98749
2,2,2,Image of church,church,10201
3,3,3,Image of gas pump,gas pump,40513
4,4,4,Image of tench,tench,6902
5,5,5,Image of garbage truck,garbage truck,79432
6,6,6,Image of english springer,english springer,50260
7,7,7,Image of golf ball,golf ball,68067
8,8,8,Image of parachute,parachute,12476
9,9,9,Image of french horn,french horn,73824
0,0,0,Image of cassette player,cassette player,81395
1,1,1,Image of chain saw,chain saw,23430
2,2,2,Image of church,church,37628
3,3,3,Image of gas pump,gas pump,42016
4,4,4,Image of tench,tench,1702
5,5,5,Image of garbage truck,garbage truck,34379
6,6,6,Image of english springer,english springer,98138
7,7,7,Image of golf ball,golf ball,58066
8,8,8,Image of parachute,parachute,5966
9,9,9,Image of french horn,french horn,51254
0,0,0,Image of cassette player,cassette player,42295
1,1,1,Image of chain saw,chain saw,82864
2,2,2,Image of church,church,28810
3,3,3,Image of gas pump,gas pump,44610
4,4,4,Image of tench,tench,42204
5,5,5,Image of garbage truck,garbage truck,43960
6,6,6,Image of english springer,english springer,1713
7,7,7,Image of golf ball,golf ball,58449
8,8,8,Image of parachute,parachute,26049
9,9,9,Image of french horn,french horn,14608
0,0,0,Image of cassette player,cassette player,58731
1,1,1,Image of chain saw,chain saw,18959
2,2,2,Image of church,church,39901
3,3,3,Image of gas pump,gas pump,36457
4,4,4,Image of tench,tench,8834
5,5,5,Image of garbage truck,garbage truck,73531
6,6,6,Image of english springer,english springer,4607
7,7,7,Image of golf ball,golf ball,39006
8,8,8,Image of parachute,parachute,4932
9,9,9,Image of french horn,french horn,9263
0,0,0,Image of cassette player,cassette player,49209
1,1,1,Image of chain saw,chain saw,89608
2,2,2,Image of church,church,59586
3,3,3,Image of gas pump,gas pump,15359
4,4,4,Image of tench,tench,15167
5,5,5,Image of garbage truck,garbage truck,9198
6,6,6,Image of english springer,english springer,75925
7,7,7,Image of golf ball,golf ball,12171
8,8,8,Image of parachute,parachute,414
9,9,9,Image of french horn,french horn,21068
0,0,0,Image of cassette player,cassette player,9118
1,1,1,Image of chain saw,chain saw,54315
2,2,2,Image of church,church,99736
3,3,3,Image of gas pump,gas pump,33139
4,4,4,Image of tench,tench,97375
5,5,5,Image of garbage truck,garbage truck,90072
6,6,6,Image of english springer,english springer,65618
7,7,7,Image of golf ball,golf ball,89976
8,8,8,Image of parachute,parachute,97875
9,9,9,Image of french horn,french horn,3049
0,0,0,Image of cassette player,cassette player,33250
1,1,1,Image of chain saw,chain saw,80047
2,2,2,Image of church,church,26482
3,3,3,Image of gas pump,gas pump,77201
4,4,4,Image of tench,tench,40387
5,5,5,Image of garbage truck,garbage truck,966
6,6,6,Image of english springer,english springer,99182
7,7,7,Image of golf ball,golf ball,62998
8,8,8,Image of parachute,parachute,85287
9,9,9,Image of french horn,french horn,26267
0,0,0,Image of cassette player,cassette player,34813
1,1,1,Image of chain saw,chain saw,1439
2,2,2,Image of church,church,97300
3,3,3,Image of gas pump,gas pump,30182
4,4,4,Image of tench,tench,96943
5,5,5,Image of garbage truck,garbage truck,2106
6,6,6,Image of english springer,english springer,52957
7,7,7,Image of golf ball,golf ball,81436
8,8,8,Image of parachute,parachute,94409
9,9,9,Image of french horn,french horn,28572
0,0,0,Image of cassette player,cassette player,85144
1,1,1,Image of chain saw,chain saw,9168
2,2,2,Image of church,church,42341
3,3,3,Image of gas pump,gas pump,45852
4,4,4,Image of tench,tench,67303
5,5,5,Image of garbage truck,garbage truck,17994
6,6,6,Image of english springer,english springer,75533
7,7,7,Image of golf ball,golf ball,96499
8,8,8,Image of parachute,parachute,82408
9,9,9,Image of french horn,french horn,67724
0,0,0,Image of cassette player,cassette player,11216
1,1,1,Image of chain saw,chain saw,42803
2,2,2,Image of church,church,67411
3,3,3,Image of gas pump,gas pump,30550
4,4,4,Image of tench,tench,20649
5,5,5,Image of garbage truck,garbage truck,8969
6,6,6,Image of english springer,english springer,68163
7,7,7,Image of golf ball,golf ball,25586
8,8,8,Image of parachute,parachute,43123
9,9,9,Image of french horn,french horn,42390
0,0,0,Image of cassette player,cassette player,45034
1,1,1,Image of chain saw,chain saw,8991
2,2,2,Image of church,church,14163
3,3,3,Image of gas pump,gas pump,19615
4,4,4,Image of tench,tench,92689
5,5,5,Image of garbage truck,garbage truck,69229
6,6,6,Image of english springer,english springer,1955
7,7,7,Image of golf ball,golf ball,6149
8,8,8,Image of parachute,parachute,41747
9,9,9,Image of french horn,french horn,70274
0,0,0,Image of cassette player,cassette player,30564
1,1,1,Image of chain saw,chain saw,40974
2,2,2,Image of church,church,80986
3,3,3,Image of gas pump,gas pump,95379
4,4,4,Image of tench,tench,5246
5,5,5,Image of garbage truck,garbage truck,20959
6,6,6,Image of english springer,english springer,8943
7,7,7,Image of golf ball,golf ball,76372
8,8,8,Image of parachute,parachute,88229
9,9,9,Image of french horn,french horn,64292
0,0,0,Image of cassette player,cassette player,66611
1,1,1,Image of chain saw,chain saw,56902
2,2,2,Image of church,church,55275
3,3,3,Image of gas pump,gas pump,19872
4,4,4,Image of tench,tench,16865
5,5,5,Image of garbage truck,garbage truck,28525
6,6,6,Image of english springer,english springer,27953
7,7,7,Image of golf ball,golf ball,45873
8,8,8,Image of parachute,parachute,1936
9,9,9,Image of french horn,french horn,11485
0,0,0,Image of cassette player,cassette player,35351
1,1,1,Image of chain saw,chain saw,80368
2,2,2,Image of church,church,6884
3,3,3,Image of gas pump,gas pump,45346
4,4,4,Image of tench,tench,2041
5,5,5,Image of garbage truck,garbage truck,5975
6,6,6,Image of english springer,english springer,46084
7,7,7,Image of golf ball,golf ball,41129
8,8,8,Image of parachute,parachute,92555
9,9,9,Image of french horn,french horn,60370
0,0,0,Image of cassette player,cassette player,81786
1,1,1,Image of chain saw,chain saw,96085
2,2,2,Image of church,church,95295
3,3,3,Image of gas pump,gas pump,53419
4,4,4,Image of tench,tench,34960
5,5,5,Image of garbage truck,garbage truck,56326
6,6,6,Image of english springer,english springer,95289
7,7,7,Image of golf ball,golf ball,18465
8,8,8,Image of parachute,parachute,5590
9,9,9,Image of french horn,french horn,49148
0,0,0,Image of cassette player,cassette player,4019
1,1,1,Image of chain saw,chain saw,84498
2,2,2,Image of church,church,8191
3,3,3,Image of gas pump,gas pump,22773
4,4,4,Image of tench,tench,51685
5,5,5,Image of garbage truck,garbage truck,24685
6,6,6,Image of english springer,english springer,32339
7,7,7,Image of golf ball,golf ball,53101
8,8,8,Image of parachute,parachute,52663
9,9,9,Image of french horn,french horn,46158
0,0,0,Image of cassette player,cassette player,29264
1,1,1,Image of chain saw,chain saw,55893
2,2,2,Image of church,church,75853
3,3,3,Image of gas pump,gas pump,62659
4,4,4,Image of tench,tench,75000
5,5,5,Image of garbage truck,garbage truck,760
6,6,6,Image of english springer,english springer,31173
7,7,7,Image of golf ball,golf ball,16254
8,8,8,Image of parachute,parachute,95434
9,9,9,Image of french horn,french horn,80306
0,0,0,Image of cassette player,cassette player,53814
1,1,1,Image of chain saw,chain saw,53059
2,2,2,Image of church,church,57057
3,3,3,Image of gas pump,gas pump,53874
4,4,4,Image of tench,tench,82400
5,5,5,Image of garbage truck,garbage truck,63292
6,6,6,Image of english springer,english springer,56182
7,7,7,Image of golf ball,golf ball,80563
8,8,8,Image of parachute,parachute,18005
9,9,9,Image of french horn,french horn,41849
0,0,0,Image of cassette player,cassette player,25372
1,1,1,Image of chain saw,chain saw,74844
2,2,2,Image of church,church,78839
3,3,3,Image of gas pump,gas pump,49037
4,4,4,Image of tench,tench,4499
5,5,5,Image of garbage truck,garbage truck,80350
6,6,6,Image of english springer,english springer,87189
7,7,7,Image of golf ball,golf ball,83433
8,8,8,Image of parachute,parachute,10259
9,9,9,Image of french horn,french horn,74829
0,0,0,Image of cassette player,cassette player,84301
1,1,1,Image of chain saw,chain saw,19831
2,2,2,Image of church,church,30562
3,3,3,Image of gas pump,gas pump,12764
4,4,4,Image of tench,tench,81939
5,5,5,Image of garbage truck,garbage truck,8160
6,6,6,Image of english springer,english springer,31781
7,7,7,Image of golf ball,golf ball,76873
8,8,8,Image of parachute,parachute,4078
9,9,9,Image of french horn,french horn,88505
0,0,0,Image of cassette player,cassette player,10912
1,1,1,Image of chain saw,chain saw,2421
2,2,2,Image of church,church,21156
3,3,3,Image of gas pump,gas pump,61761
4,4,4,Image of tench,tench,54896
5,5,5,Image of garbage truck,garbage truck,21597
6,6,6,Image of english springer,english springer,27750
7,7,7,Image of golf ball,golf ball,60221
8,8,8,Image of parachute,parachute,38853
9,9,9,Image of french horn,french horn,94649
0,0,0,Image of cassette player,cassette player,71788
1,1,1,Image of chain saw,chain saw,8366
2,2,2,Image of church,church,40981
3,3,3,Image of gas pump,gas pump,30064
4,4,4,Image of tench,tench,66433
5,5,5,Image of garbage truck,garbage truck,65490
6,6,6,Image of english springer,english springer,57925
7,7,7,Image of golf ball,golf ball,53182
8,8,8,Image of parachute,parachute,69194
9,9,9,Image of french horn,french horn,97805
0,0,0,Image of cassette player,cassette player,53309
1,1,1,Image of chain saw,chain saw,48469
2,2,2,Image of church,church,29442
3,3,3,Image of gas pump,gas pump,217
4,4,4,Image of tench,tench,59800
5,5,5,Image of garbage truck,garbage truck,11843
6,6,6,Image of english springer,english springer,20219
7,7,7,Image of golf ball,golf ball,82532
8,8,8,Image of parachute,parachute,46879
9,9,9,Image of french horn,french horn,15594
0,0,0,Image of cassette player,cassette player,54515
1,1,1,Image of chain saw,chain saw,4450
2,2,2,Image of church,church,78639
3,3,3,Image of gas pump,gas pump,6857
4,4,4,Image of tench,tench,75181
5,5,5,Image of garbage truck,garbage truck,33981
6,6,6,Image of english springer,english springer,24799
7,7,7,Image of golf ball,golf ball,9929
8,8,8,Image of parachute,parachute,1922
9,9,9,Image of french horn,french horn,3228
0,0,0,Image of cassette player,cassette player,18023
1,1,1,Image of chain saw,chain saw,59116
2,2,2,Image of church,church,31552
3,3,3,Image of gas pump,gas pump,11979
4,4,4,Image of tench,tench,92567
5,5,5,Image of garbage truck,garbage truck,64088
6,6,6,Image of english springer,english springer,25494
7,7,7,Image of golf ball,golf ball,85114
8,8,8,Image of parachute,parachute,71924
9,9,9,Image of french horn,french horn,98510
0,0,0,Image of cassette player,cassette player,60207
1,1,1,Image of chain saw,chain saw,35690
2,2,2,Image of church,church,96932
3,3,3,Image of gas pump,gas pump,54178
4,4,4,Image of tench,tench,70515
5,5,5,Image of garbage truck,garbage truck,47168
6,6,6,Image of english springer,english springer,35789
7,7,7,Image of golf ball,golf ball,22537
8,8,8,Image of parachute,parachute,5589
9,9,9,Image of french horn,french horn,77129
0,0,0,Image of cassette player,cassette player,98261
1,1,1,Image of chain saw,chain saw,6138
2,2,2,Image of church,church,16042
3,3,3,Image of gas pump,gas pump,88170
4,4,4,Image of tench,tench,13085
5,5,5,Image of garbage truck,garbage truck,33343
6,6,6,Image of english springer,english springer,61881
7,7,7,Image of golf ball,golf ball,6332
8,8,8,Image of parachute,parachute,8024
9,9,9,Image of french horn,french horn,5036
0,0,0,Image of cassette player,cassette player,85785
1,1,1,Image of chain saw,chain saw,43284
2,2,2,Image of church,church,46530
3,3,3,Image of gas pump,gas pump,34821
4,4,4,Image of tench,tench,43221
5,5,5,Image of garbage truck,garbage truck,48580
6,6,6,Image of english springer,english springer,53173
7,7,7,Image of golf ball,golf ball,20440
8,8,8,Image of parachute,parachute,29907
9,9,9,Image of french horn,french horn,49747
0,0,0,Image of cassette player,cassette player,82737
1,1,1,Image of chain saw,chain saw,78099
2,2,2,Image of church,church,87572
3,3,3,Image of gas pump,gas pump,64248
4,4,4,Image of tench,tench,20811
5,5,5,Image of garbage truck,garbage truck,32909
6,6,6,Image of english springer,english springer,89182
7,7,7,Image of golf ball,golf ball,21666
8,8,8,Image of parachute,parachute,22928
9,9,9,Image of french horn,french horn,65868
0,0,0,Image of cassette player,cassette player,41306
1,1,1,Image of chain saw,chain saw,70581
2,2,2,Image of church,church,34817
3,3,3,Image of gas pump,gas pump,31107
4,4,4,Image of tench,tench,62844
5,5,5,Image of garbage truck,garbage truck,51532
6,6,6,Image of english springer,english springer,27213
7,7,7,Image of golf ball,golf ball,46336
8,8,8,Image of parachute,parachute,44988
9,9,9,Image of french horn,french horn,53906
0,0,0,Image of cassette player,cassette player,32465
1,1,1,Image of chain saw,chain saw,5399
2,2,2,Image of church,church,79248
3,3,3,Image of gas pump,gas pump,43742
4,4,4,Image of tench,tench,8554
5,5,5,Image of garbage truck,garbage truck,80387
6,6,6,Image of english springer,english springer,38125
7,7,7,Image of golf ball,golf ball,11273
8,8,8,Image of parachute,parachute,39877
9,9,9,Image of french horn,french horn,74165
0,0,0,Image of cassette player,cassette player,47274
1,1,1,Image of chain saw,chain saw,3226
2,2,2,Image of church,church,2249
3,3,3,Image of gas pump,gas pump,60341
4,4,4,Image of tench,tench,62341
5,5,5,Image of garbage truck,garbage truck,93334
6,6,6,Image of english springer,english springer,64228
7,7,7,Image of golf ball,golf ball,22798
8,8,8,Image of parachute,parachute,11314
9,9,9,Image of french horn,french horn,12526
0,0,0,Image of cassette player,cassette player,81748
1,1,1,Image of chain saw,chain saw,11130
2,2,2,Image of church,church,66758
3,3,3,Image of gas pump,gas pump,35404
4,4,4,Image of tench,tench,94158
5,5,5,Image of garbage truck,garbage truck,70434
6,6,6,Image of english springer,english springer,22798
7,7,7,Image of golf ball,golf ball,25068
8,8,8,Image of parachute,parachute,23889
9,9,9,Image of french horn,french horn,66872
0,0,0,Image of cassette player,cassette player,2954
1,1,1,Image of chain saw,chain saw,67066
2,2,2,Image of church,church,8349
3,3,3,Image of gas pump,gas pump,22924
4,4,4,Image of tench,tench,31466
5,5,5,Image of garbage truck,garbage truck,99891
6,6,6,Image of english springer,english springer,93616
7,7,7,Image of golf ball,golf ball,71744
8,8,8,Image of parachute,parachute,17496
9,9,9,Image of french horn,french horn,59237
0,0,0,Image of cassette player,cassette player,9303
1,1,1,Image of chain saw,chain saw,70241
2,2,2,Image of church,church,4314
3,3,3,Image of gas pump,gas pump,82016
4,4,4,Image of tench,tench,96702
5,5,5,Image of garbage truck,garbage truck,96673
6,6,6,Image of english springer,english springer,61656
7,7,7,Image of golf ball,golf ball,44901
8,8,8,Image of parachute,parachute,83534
9,9,9,Image of french horn,french horn,27086
0,0,0,Image of cassette player,cassette player,35152
1,1,1,Image of chain saw,chain saw,47312
2,2,2,Image of church,church,71069
3,3,3,Image of gas pump,gas pump,70258
4,4,4,Image of tench,tench,66376
5,5,5,Image of garbage truck,garbage truck,4830
6,6,6,Image of english springer,english springer,31927
7,7,7,Image of golf ball,golf ball,69976
8,8,8,Image of parachute,parachute,91603
9,9,9,Image of french horn,french horn,46062
0,0,0,Image of cassette player,cassette player,45863
1,1,1,Image of chain saw,chain saw,62824
2,2,2,Image of church,church,58722
3,3,3,Image of gas pump,gas pump,65868
4,4,4,Image of tench,tench,29722
5,5,5,Image of garbage truck,garbage truck,18448
6,6,6,Image of english springer,english springer,38243
7,7,7,Image of golf ball,golf ball,80236
8,8,8,Image of parachute,parachute,74986
9,9,9,Image of french horn,french horn,8067
0,0,0,Image of cassette player,cassette player,53007
1,1,1,Image of chain saw,chain saw,23927
2,2,2,Image of church,church,91971
3,3,3,Image of gas pump,gas pump,32669
4,4,4,Image of tench,tench,31509
5,5,5,Image of garbage truck,garbage truck,15193
6,6,6,Image of english springer,english springer,46513
7,7,7,Image of golf ball,golf ball,37872
8,8,8,Image of parachute,parachute,34816
9,9,9,Image of french horn,french horn,55110
0,0,0,Image of cassette player,cassette player,99899
1,1,1,Image of chain saw,chain saw,97962
2,2,2,Image of church,church,47968
3,3,3,Image of gas pump,gas pump,33604
4,4,4,Image of tench,tench,80414
5,5,5,Image of garbage truck,garbage truck,60398
6,6,6,Image of english springer,english springer,27079
7,7,7,Image of golf ball,golf ball,44873
8,8,8,Image of parachute,parachute,9383
9,9,9,Image of french horn,french horn,77701
0,0,0,Image of cassette player,cassette player,92362
1,1,1,Image of chain saw,chain saw,75981
2,2,2,Image of church,church,47266
3,3,3,Image of gas pump,gas pump,96484
4,4,4,Image of tench,tench,81445
5,5,5,Image of garbage truck,garbage truck,12652
6,6,6,Image of english springer,english springer,84398
7,7,7,Image of golf ball,golf ball,30725
